LATITUDE,LONGITUDE,geometry
-23.5522901,-46.6255512,POINT (334081.2342465918 7394399.07784727)
-23.5583171,-46.6320912,POINT (333421.1777545871 7393724.07160406)
-23.5531305478409,-46.628480869063,POINT (333783.2073399559 7394302.613581475)
-23.5406494,-46.6284347,POINT (333772.2229937096 7395684.805469288)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.5553712,-46.6317971,POINT (333447.4863088115 7394050.637544665)
-23.5518861955014,-46.6349507500912,POINT (333121.1412540847 7394432.892603647)
-23.5443802,-46.6341235,POINT (333196.12025027 7395265.056824966)
-23.541012438589295,-46.6307968588892,POINT (333531.5104580263 7395641.86288362)
-23.5499937790557,-46.630921696635696,POINT (333530.0774459573 7394647.14087061)
-23.538033594999895,-46.63204949,POINT (333399.8669407051 7395970.279588943)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.558050384,-46.63022391,POINT (333611.4613537075 7393755.77685415)
-23.5486500352727,-46.6296555045454,POINT (333657.6514583083 7394797.414568107)
-23.5587832,-46.6329018,POINT (333339.0169028264 7393671.513838164)
-23.555297,-46.6356422,POINT (333054.8620223929 7394054.380179632)
-23.552565184048895,-46.626854138061695,POINT (333948.5655846823 7394367.106599888)
-23.559878089305496,-46.6307428981944,POINT (333560.7842036037 7393552.777081439)
-23.548368982936495,-46.6285606325791,POINT (333769.0744390411 7394829.807887235)
-23.5412968,-46.6307998,POINT (333531.5682605697 7395610.36982852)
-23.549236676,-46.6292656777143,POINT (333698.1875122968 7394732.903386476)
-23.5393987,-46.6327896,POINT (333326.0231861277 7395818.250382915)
-23.5568951376104,-46.629654444935,POINT (333668.1397869134 7393884.367985833)
-23.551704002999905,-46.6278847089999,POINT (333842.2738316596 7394461.277779246)
-23.5418808426204,-46.6316061732879,POINT (333449.9760374071 7395544.757620024)
-23.540561019334305,-46.6307546235457,POINT (333535.2541324026 7395691.901221959)
-23.551414432999895,-46.633539211,POINT (333264.6480173994 7394486.777607216)
-23.5523761,-46.6256772,POINT (334068.4791606514 7394389.408504397)
-23.5492914584566,-46.6337428575295,POINT (333241.1787881749 7394721.635330971)
-23.5554009,-46.6289365,POINT (333739.5502976454 7394050.670375662)
-23.5489573083442,-46.636776781918,POINT (332931.0209824686 7394755.105678402)
-23.54218063675,-46.63227744075,POINT (333381.8199994494 7395510.779075201)
-23.5519317,-46.6256609,POINT (334069.5851041995 7394438.639362465)
-23.5437922,-46.6324598,POINT (333365.2334101187 7395332.105566699)
-23.558448,-46.6358513,POINT (333037.4985333618 7393705.1995873)
-23.5524066,-46.6346947,POINT (333147.9382337726 7394375.561957794)
-23.5568951376104,-46.629654444935,POINT (333668.1397869134 7393884.367985833)
-23.5415958237411,-46.6299945274352,POINT (333614.1602735826 7395578.191197682)
-23.54502538,-46.6310911269999,POINT (333506.5211536227 7395197.135591119)
-23.543926976778,-46.634289934729296,POINT (333178.5561816137 7395315.052325927)
-23.551319340717,-46.6307001248113,POINT (333554.3674483481 7394500.607855989)
-23.5530447,-46.6283444,POINT (333797.0311269629 7394312.278480686)
-23.5402519,-46.6325433,POINT (333352.2454585421 7395724.054861291)
-23.5414131,-46.6310731,POINT (333503.8117104974 7395597.173662229)
-23.549798209,-46.640305917,POINT (332571.7933610466 7394657.867772236)
-23.551131598983496,-46.6284447261967,POINT (333784.3824362793 7394524.015394203)
-23.5525345010662,-46.626866642319,POINT (333947.2504903128 7394370.489887446)
-23.5563456846744,-46.6293721500496,POINT (333696.2660227853 7393945.541086018)
-23.53968451025,-46.63177472974991,POINT (333429.9997159982 7395787.779547294)
-23.5532365,-46.634488,POINT (333170.087775863 7394283.900793157)
-23.5541434977209,-46.6352819434775,POINT (333090.1818454326 7394182.53686402)
-23.5489573083442,-46.636776781918,POINT (332931.0209824686 7394755.105678402)
-23.555297,-46.6356422,POINT (333054.8620223929 7394054.380179632)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.5583201035294,-46.6349093580784,POINT (333133.4937699155 7393720.459915982)
-23.5470267,-46.6300891,POINT (333611.3414428093 7394976.676487551)
-23.5586197907263,-46.6349829826947,POINT (333126.3565111007 7393687.187269704)
-23.5459978,-46.6295203,POINT (333668.1166006457 7395091.275023725)
-23.5511670776036,-46.6249951780715,POINT (334136.5876904519 7394524.082690727)
-23.5577168,-46.6366963,POINT (332950.3131564276 7393785.186726741)
-23.5569861,-46.6350842,POINT (333113.9598922493 7393867.981802584)
-23.5518562,-46.6357743,POINT (333037.0282448322 7394435.255119128)
-23.556827252725295,-46.6300893657106,POINT (333623.6555757347 7393891.380535102)
-23.5449102,-46.6263324,POINT (333992.212692215 7395215.408800272)
-23.552565184048895,-46.626854138061695,POINT (333948.5655846823 7394367.106599888)
-23.5519317,-46.6256609,POINT (334069.5851041995 7394438.639362465)
-23.5571170137557,-46.634185653166,POINT (333205.8530673463 7393854.530809361)
-23.5560363,-46.6358507,POINT (333034.5114755178 7393972.268314306)
